,Unique gene,EC,Pathway,KO
0,gene_127,3.1.-.-,[],[]
1,gene_212,3.6.1.57,"['Amino sugar and nucleotide sugar metabolism', 'O-Antigen nucleotide sugar biosynthesis']","['pseG; UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]']"
2,gene_213,2.7.7.38,['Lipopolysaccharide biosynthesis'],['kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]']
3,gene_215,3.8.1.2,"['Chlorocyclohexane and chlorobenzene degradation', 'Chloroalkane and chloroalkene degradation']",['E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]']
4,gene_216,5.4.99.9,"['Galactose metabolism', 'Amino sugar and nucleotide sugar metabolism', 'O-Antigen nucleotide sugar biosynthesis']",['glf; UDP-galactopyranose mutase [EC:5.4.99.9]']
5,gene_218,2.7.7.39,['Glycerophospholipid metabolism'],['tagD; glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]']
6,gene_222,2.1.1.33,[],"['trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]']"
7,gene_265,3.2.1.8,[],"['E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]', 'EIX; ethylene-1,4-beta-xylanase [EC:3.2.1.8]']"
8,gene_276,3.1.27.-,[],[]
9,gene_292,2.7.8.40,[],['wecP; UDP-GalNAc:undecaprenyl-phosphate GalNAc-1-phosphate transferase [EC:2.7.8.40]']
10,gene_365,5.4.99.62,[],['rbsD; D-ribose pyranase [EC:5.4.99.62]']
11,gene_435,5.4.99.12,[],"['truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]']"
12,gene_440,2.7.7.6,[],"['E2.7.7.6; DNA-directed RNA polymerase [EC:2.7.7.6]', 'RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]', 'RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]', 'RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]', 'RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]', 'RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]', 'RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]', 'rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]', ""rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"", 'rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]', 'rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]', ""rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]"", 'rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]', ""rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]"", 'rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]', ""rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]"", 'rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]', 'rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]', 'rpoG; DNA-directed RNA polymerase subunit G [EC:2.7.7.6]', 'rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]', 'rpoI; DNA-directed RNA polymerase subunit I [EC:2.7.7.6]', 'rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]', 'rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]', 'rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]', 'rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]', 'rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]', 'POLRMT, RPO41; DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]', ""rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]"", 'rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]', 'NRPD1; DNA-directed RNA polymerase IV subunit 1 [EC:2.7.7.6]', 'NRPE1; DNA-directed RNA polymerase V subunit 1 [EC:2.7.7.6]', 'NRPD2, NRPE2; DNA-directed RNA polymerase IV and V subunit 2 [EC:2.7.7.6]', 'RPO18; Poxviridae DNA-directed RNA polymerase [EC:2.7.7.6]', 'gp50; virion DNA-directed RNA polymerase [EC:2.7.7.6]', '1; T7 RNA polymerase [EC:2.7.7.6]']"
13,gene_446,2.7.4.3,"['Purine metabolism', 'Thiamine metabolism']","['adk, AK; adenylate kinase [EC:2.7.4.3]', 'AK6, FAP7; adenylate kinase [EC:2.7.4.3]', 'AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]']"
14,gene_474,2.7.7.6,[],"['E2.7.7.6; DNA-directed RNA polymerase [EC:2.7.7.6]', 'RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]', 'RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]', 'RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]', 'RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]', 'RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]', 'RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]', 'rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]', ""rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"", 'rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]', 'rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]', ""rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]"", 'rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]', ""rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]"", 'rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]', ""rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]"", 'rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]', 'rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]', 'rpoG; DNA-directed RNA polymerase subunit G [EC:2.7.7.6]', 'rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]', 'rpoI; DNA-directed RNA polymerase subunit I [EC:2.7.7.6]', 'rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]', 'rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]', 'rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]', 'rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]', 'rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]', 'POLRMT, RPO41; DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]', ""rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]"", 'rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]', 'NRPD1; DNA-directed RNA polymerase IV subunit 1 [EC:2.7.7.6]', 'NRPE1; DNA-directed RNA polymerase V subunit 1 [EC:2.7.7.6]', 'NRPD2, NRPE2; DNA-directed RNA polymerase IV and V subunit 2 [EC:2.7.7.6]', 'RPO18; Poxviridae DNA-directed RNA polymerase [EC:2.7.7.6]', 'gp50; virion DNA-directed RNA polymerase [EC:2.7.7.6]', '1; T7 RNA polymerase [EC:2.7.7.6]']"
